source_id,title,author_org,year,type,url,access_date,protocol,version,primary_or_secondary,claim_supported,notes
S11,Authentication and authenticated key exchanges,Whitfield Diffie; Paul C. van Oorschot; Michael J. Wiener; Des. Codes Cryptogr.,1992,paper,https://doi.org/10.1007/BF00124891,2026-09-03,STS,STS 1992,primary,Station-to-Station：在 DH 上增加签名与密钥确认的 AKE,Designs Codes and Cryptography 2:107-125。
S12,SIGMA: The SIGn-and-MAc Approach to Authenticated Diffie-Hellman and Its Use in the IKE Protocols,Hugo Krawczyk,2003,paper,https://iacr.org/archive/crypto2003/27290399/27290399.pdf,2026-09-03,SIGMA / IKEv1-v2 signature modes,SIGMA family (CRYPTO 2003),primary,SIGMA 签名-MAC 认证 DH 及其作为 IKE 签名模式密码学基础,CRYPTO 2003 LNCS 2729:400-425；DOI 10.1007/978-3-540-45146-4_24。IACR 存档 PDF 已打开核验。
S13,IT Security techniques — Entity authentication — Part 2: Mechanisms using authenticated encryption,ISO/IEC JTC 1/SC 27,2019,standard,https://www.iso.org/standard/67114.html,2026-09-03,ISO9798-2,ISO/IEC 9798-2:2019 (4th ed.),primary,9798-2 当前版本：使用认证加密的实体鉴别机制,2019-06；2024 确认仍为现行。第 4 版取代 9798-2:2008 及其 Cor.1–3。全文付费；本账本只依据 ISO 书目页与 OBP 摘要。
S14,IT Security techniques — Entity authentication — Part 3: Mechanisms using digital signature techniques,ISO/IEC JTC 1/SC 27,2019,standard,https://www.iso.org/standard/67115.html,2026-09-03,ISO9798-3,ISO/IEC 9798-3:2019 (3rd ed.),primary,9798-3 当前版本：使用数字签名的实体鉴别机制,2019-01；2024 确认仍为现行。全文付费；只依据 ISO 书目页。
S15,Provably Repairing the ISO/IEC 9798 Standard for Entity Authentication,David Basin; Cas Cremers; Simon Meier,2012,paper,https://doi.org/10.1007/978-3-642-28641-4_8,2026-09-03,ISO9798,ISO/IEC 9798 family (pre-2019 editions analyzed),primary,对 9798 族协议的形式化分析、弱点与修复建议,POST 2012 LNCS 7215:129-148。期刊扩写见 J. Comput. Secur. 21(6):817-846 (2013)。公开 Scyther 例子与该分析同一工具线，但例子标注 Modeler 2010。
S16,Key Exchange in IPsec Revisited: Formal Analysis of IKEv1 and IKEv2,Cas Cremers,2011,paper,https://doi.org/10.1007/978-3-642-23822-2_18,2026-09-03,IKEv1; IKEv2,IKEv1 RFC 2409 era; IKEv2 RFC 4306/5996 era,primary,用 Scyther 对 IKE 套件做多协议交互分析,ESORICS 2011 LNCS 6879:315-334。早于 RFC 7296 (2014)；不能把该文结论直接写成对 STD 79 全文的证明。
S17,Automated Analysis and Verification of TLS 1.3: 0-RTT Resumption and Delayed Authentication,Cas Cremers; Marko Horvat; Sam Scott; Thyla van der Merwe,2016,paper,https://doi.org/10.1109/SP.2016.35,2026-09-03,TLS,TLS 1.3 draft-10,primary,Tamarin 分析 TLS 1.3 draft-10（含 0-RTT/PSK 与延迟认证）,IEEE S&P 2016。模型页 https://tls13tamarin.github.io/TLS13Tamarin/tls13-draft10.html。目标是 draft-10 而非 RFC 8446/9846。
S18,A Comprehensive Symbolic Analysis of TLS 1.3,Cas Cremers; Marko Horvat; Jonathan Hoyland; Sam Scott; Thyla van der Merwe,2017,paper,https://doi.org/10.1145/3133956.3134063,2026-09-03,TLS,TLS 1.3 draft-21,primary,Tamarin 对 TLS 1.3 draft-21 全握手模式的符号模型,ACM CCS 2017:1773-1788。仓库 README 写明最新代码在 src/rev21。
S19,TLS13Tamarin (Tamarin model of TLS 1.3),tls13tamarin project (Cremers et al.),2017,repo,https://github.com/tls13tamarin/TLS13Tamarin,2026-09-03,TLS,model files for draft revisions up to rev21,primary,公开 TLS 1.3 Tamarin 模型与 draft 对照材料,GitHub 已打开：src/rev21 为仓库内最新；另提供更早 revision。对照页 https://samscott89.github.io/TLS13_Tamarin 。不是 RFC 9846 模型。
S20,tamarin-ikev2: Tamarin Model for IKEv2,mnm-team (Tobias Heider; Stefan-Lukas Gazdag; Sophia Grundner-Culemann),2021,repo,https://github.com/mnm-team/tamarin-ikev2,2026-09-03,IKEv2,Minimal IKEv2 (RFC 7815) plus IKE_INTERMEDIATE draft,primary,公开 Minimal IKEv2 的 Tamarin 符号模型,README 明确写 symbolic model of the Minimal IKEv2；PQ 变体针对可破 DH 的攻击者。不是 RFC 7296 全协议模型。
S21,The Scyther tool repository,Cas Cremers,2007,repo,https://github.com/cascremers/scyther,2026-09-03,ISO9798; NS-PK; NSL; others,bundled SPDL examples (ISO-9798 dated Dec 2010),primary,Scyther 源码、手册与发行包内协议例子,GitHub 已打开。协议模型在 gui/Protocols；ISO-9798 目录含 isoiec-9798-2-*.spdl 等；注释 Modeled from ISO/IEC 9798 / Modeler Cas Cremers Dec. 2010。官方页 https://cispa.saarland/group/cremers/scyther/index.html 称 v1.3.0 (2026-02-18)。
S22,The Scyther Tool: Verification Falsification and Analysis of Security Protocols,Cas J. F. Cremers,2008,paper,https://doi.org/10.1007/978-3-540-70545-1_38,2026-09-03,tool,Scyther CAV 2008,secondary,Scyther 工具论文（背景资料非本文创新）,CAV 2008 LNCS 5123:414-418。ETH Zurich。
S23,The TAMARIN Prover for the Symbolic Analysis of Security Protocols,Simon Meier; Benedikt Schmidt; Cas Cremers; David Basin,2013,paper,https://doi.org/10.1007/978-3-642-39799-8_48,2026-09-03,tool,Tamarin CAV 2013,secondary,Tamarin 工具论文（背景资料非本文创新）,CAV 2013 LNCS 8044:696-701。
S24,Tamarin Prover Manual,Tamarin prover developers,2026,tool_doc,https://tamarin-prover.github.io/manual/,2026-09-03,tool,Tamarin official manual (HTML/PDF),secondary,Tamarin 官方手册：安装、规则/进程建模、性质与证明模式,首页与 Introduction/Installation 章节已打开。工具主页 https://tamarin-prover.github.io/ 。
S25,The Scyther Tool (official documentation hub),Cas Cremers / CISPA,2026,tool_doc,https://cispa.saarland/group/cremers/scyther/index.html,2026-09-03,tool,Scyther official docs,secondary,Scyther 官方说明、安装、练习与模型入口,仓库内手册 PDF：https://github.com/cascremers/scyther/blob/main/manual/scyther-manual.pdf 。
S26,The Tamarin prover repository,tamarin-prover project,2013,repo,https://github.com/tamarin-prover/tamarin-prover,2026-09-03,tool; DH; NS-classics,examples/ including classic and csf12,secondary,Tamarin 源码与 examples/ 中的经典协议模型,README 已打开：examples/classic 含 SPORE 类协议；csf12 为 CSF'12 AKE/DH 案例。
S27,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis; Ethan Perez; Aleksandra Piktus; Fabio Petroni; Vladimir Karpukhin; Naman Goyal; Heinrich Küttler; Mike Lewis; Wen-tau Yih; Tim Rocktäschel; Sebastian Riedel; Douwe Kiela,2020,paper,https://arxiv.org/abs/2005.11401,2026-09-03,LLM-RAG,RAG (NeurIPS 2020),secondary,检索增强生成：参数记忆与非参数检索结合,NeurIPS 2020；arXiv:2005.11401；DOI 10.48550/arXiv.2005.11401。
S28,Evaluating Large Language Models Trained on Code,Mark Chen; Jerry Tworek; Heewoo Jun; Qiming Yuan; et al. (OpenAI),2021,paper,https://arxiv.org/abs/2107.03374,2026-09-03,LLM-codegen,Codex / HumanEval,secondary,代码大模型与功能正确性评测（pass@k）,arXiv:2107.03374；DOI 10.48550/arXiv.2107.03374。
S29,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Jason Wei; Xuezhi Wang; Dale Schuurmans; Maarten Bosma; Brian Ichter; Fei Xia; Ed Chi; Quoc Le; Denny Zhou,2022,paper,https://arxiv.org/abs/2201.11903,2026-09-03,LLM-reasoning,CoT prompting,secondary,思维链提示可提升多步推理,NeurIPS 2022；arXiv:2201.11903。
S30,ReAct: Synergizing Reasoning and Acting in Language Models,Shunyu Yao; Jeffrey Zhao; Dian Yu; Nan Du; Izhak Shafran; Karthik Narasimhan; Yuan Cao,2023,paper,https://arxiv.org/abs/2210.03629,2026-09-03,LLM-agent,ReAct interleaved reason+act,secondary,推理轨迹与工具/环境动作交错的 Agent 范式,arXiv:2210.03629（v3 2023-03-10）；项目页 https://react-lm.github.io/ 。
S31,Toolformer: Language Models Can Teach Themselves to Use Tools,Timo Schick; Jane Dwivedi-Yu; Roberto Dessì; Roberta Raileanu; Maria Lomeli; Luke Zettlemoyer; Nicola Cancedda; Thomas Scialom,2023,paper,https://arxiv.org/abs/2302.04761,2026-09-03,LLM-tools,Toolformer API-calling LM,secondary,语言模型自学调用外部 API/工具,arXiv:2302.04761；Meta 页面标注 NeurIPS。
S32,LEVER: Learning to Verify Language-to-Code Generation with Execution,Ansong Ni; Srini Iyer; Dragomir Radev; Veselin Stoyanov; Wen-tau Yih; Sida Wang; Xi Victoria Lin,2023,paper,https://arxiv.org/abs/2302.08468,2026-09-03,LLM-verifier,LEVER verifier-in-the-loop for code,secondary,用执行结果训练验证器并对 LLM 程序重排序,ICML 2023 PMLR 202:26106-26128；https://proceedings.mlr.press/v202/ni23b.html 。
S33,Teaching Large Language Models to Self-Debug,Xinyun Chen; Maxwell Lin; Nathanael Schärli; Denny Zhou,2023,paper,https://arxiv.org/abs/2304.05128,2026-09-03,LLM-verifier,Self-Debugging with execution/explanation feedback,secondary,少样本演示下利用执行反馈自我调试代码,arXiv:2304.05128。
S34,Minimal Internet Key Exchange Version 2 (IKEv2) Initiator Implementation,T. Kivinen; IETF/RFC Editor,2016,rfc,https://www.rfc-editor.org/info/rfc7815,2026-09-03,IKEv2,RFC 7815 Minimal IKEv2 initiator (Informational),primary,Minimal IKEv2 发起方子集：公开 Tamarin 模型的明确目标规范,2016-03 Informational；不更新 RFC 7296，冲突时以 7296 为准。mnm-team README 直接指向该 RFC。DOI 10.17487/RFC7815。
S35,Deprecating TLS 1.0 and TLS 1.1,K. Moriarty; S. Farrell; IETF/RFC Editor,2021,rfc,https://www.rfc-editor.org/info/rfc8996,2026-09-03,TLS,TLS 1.0/1.1 deprecated (BCP 195),secondary,从部署策略上废弃 TLS 1.0/1.1；RFC 9846 据此禁止协商 1.0/1.1,2021-03；DOI 10.17487/RFC8996。用于版本谱系而非协议模型。
